created_at,entry_id,Temperature,Humidity,Moisture Sensor,Light Sensor,latitude,longitude,elevation,status
2023-02-06T15:43:15+07:00,135,26,76,1131,40,,,,Fuzzy
2023-02-06T15:43:34+07:00,136,26,77,1274,39,,,,Fuzzy
2023-02-06T15:43:56+07:00,137,26,77,1207,39,,,,Fuzzy
2023-02-06T15:44:13+07:00,138,26,77,1152,38,,,,Fuzzy
2023-02-06T15:44:32+07:00,139,26,77,1158,37,,,,Fuzzy
2023-02-06T15:44:54+07:00,140,26,77,1130,37,,,,Fuzzy
2023-02-06T15:45:12+07:00,141,26,79,1149,36,,,,Fuzzy
2023-02-06T15:45:35+07:00,142,26,79,1129,35,,,,Fuzzy
2023-02-06T15:45:52+07:00,143,26,77,1170,33,,,,Fuzzy
2023-02-06T15:46:12+07:00,144,26,76,1196,33,,,,Fuzzy
2023-02-06T15:46:35+07:00,145,26,77,1200,32,,,,Fuzzy
2023-02-06T15:46:52+07:00,146,26,86,1200,31,,,,Fuzzy
2023-02-06T15:47:12+07:00,147,26,79,1220,31,,,,Fuzzy
2023-02-06T15:47:32+07:00,148,26,77,1150,30,,,,Fuzzy
2023-02-06T15:47:52+07:00,149,26,76,1287,30,,,,Fuzzy
2023-02-06T15:48:12+07:00,150,26,76,1259,29,,,,Fuzzy
2023-02-06T15:48:34+07:00,151,26,76,1231,29,,,,Fuzzy
2023-02-06T15:48:52+07:00,152,26,76,1158,28,,,,Fuzzy
2023-02-06T15:49:13+07:00,153,26,76,1413,27,,,,Fuzzy
2023-02-06T15:49:33+07:00,154,26,77,1264,27,,,,Fuzzy
2023-02-06T15:49:52+07:00,155,26,77,1309,26,,,,Fuzzy
2023-02-06T15:50:12+07:00,156,26,79,1303,26,,,,Fuzzy
2023-02-06T15:50:32+07:00,157,26,79,1315,26,,,,Fuzzy
2023-02-06T15:50:52+07:00,158,26,81,1334,26,,,,Fuzzy
2023-02-06T15:51:12+07:00,159,27,83,1156,26,,,,Fuzzy
2023-02-06T15:51:32+07:00,160,27,85,1262,26,,,,Fuzzy
2023-02-06T15:54:56+07:00,161,27,85,1276,32,,,,Fuzzy
2023-02-06T15:55:11+07:00,162,27,82,1286,33,,,,Fuzzy
2023-02-06T15:55:33+07:00,163,27,85,1292,35,,,,Fuzzy
2023-02-06T15:55:52+07:00,164,27,87,1289,36,,,,Fuzzy
2023-02-06T15:56:12+07:00,165,28,86,1265,26,,,,Fuzzy
2023-02-06T15:56:31+07:00,166,28,86,1321,39,,,,Fuzzy
2023-02-06T15:56:51+07:00,167,28,86,1338,40,,,,Fuzzy
2023-02-06T15:57:11+07:00,168,28,86,1237,41,,,,Fuzzy
2023-02-06T15:57:31+07:00,169,28,87,1256,42,,,,Fuzzy
2023-02-06T15:57:53+07:00,170,28,86,1281,42,,,,Fuzzy
2023-02-06T15:58:13+07:00,171,28,86,1327,44,,,,Fuzzy
2023-02-06T15:58:33+07:00,172,28,86,1232,44,,,,Fuzzy
2023-02-06T15:58:55+07:00,173,28,87,1281,44,,,,Fuzzy
2023-02-06T15:59:12+07:00,174,28,87,1361,45,,,,Fuzzy
2023-02-06T15:59:33+07:00,175,28,88,1260,45,,,,Fuzzy
2023-02-06T15:59:55+07:00,176,28,87,1332,47,,,,Fuzzy
2023-02-06T16:00:28+07:00,177,28,87,1282,47,,,,Fuzzy
2023-02-06T20:33:57+07:00,178,28,88,1290,6,,,,Bukan Fuzzy
2023-02-06T20:34:18+07:00,179,27,95,1280,6,,,,Bukan Fuzzy
2023-02-06T20:34:36+07:00,180,27,95,1320,6,,,,Bukan Fuzzy
2023-02-06T20:35:01+07:00,181,27,95,1354,6,,,,Bukan Fuzzy
2023-02-06T20:35:18+07:00,182,27,95,1293,6,,,,Bukan Fuzzy
2023-02-06T20:35:36+07:00,183,27,95,1256,6,,,,Bukan Fuzzy
2023-02-06T20:35:57+07:00,184,27,95,1330,6,,,,Bukan Fuzzy
2023-02-06T20:36:20+07:00,185,27,95,1252,6,,,,Bukan Fuzzy
2023-02-06T20:36:37+07:00,186,27,95,1410,6,,,,Bukan Fuzzy
2023-02-06T20:37:01+07:00,187,27,95,1290,6,,,,Bukan Fuzzy
2023-02-06T20:37:16+07:00,188,27,95,1285,6,,,,Bukan Fuzzy
2023-02-06T20:37:37+07:00,189,27,95,1243,6,,,,Bukan Fuzzy
2023-02-06T20:37:57+07:00,190,27,95,1326,6,,,,Bukan Fuzzy
2023-02-06T20:38:26+07:00,191,27,95,1275,6,,,,Bukan Fuzzy
2023-02-06T20:38:58+07:00,192,27,95,1338,6,,,,Bukan Fuzzy
2023-02-06T20:39:17+07:00,193,27,95,1292,6,,,,Bukan Fuzzy
2023-02-06T20:39:37+07:00,194,27,95,1272,6,,,,Bukan Fuzzy
2023-02-06T20:39:57+07:00,195,27,95,1496,7,,,,Bukan Fuzzy
2023-02-06T20:40:19+07:00,196,27,95,1258,6,,,,Bukan Fuzzy
2023-02-06T20:40:44+07:00,197,27,95,1325,6,,,,Bukan Fuzzy
2023-02-06T20:41:19+07:00,198,27,95,1336,6,,,,Bukan Fuzzy
2023-02-06T20:41:37+07:00,199,27,95,1323,6,,,,Bukan Fuzzy
2023-02-06T20:41:57+07:00,200,27,95,1301,6,,,,Bukan Fuzzy
2023-02-06T20:42:17+07:00,201,27,95,1289,6,,,,Bukan Fuzzy
2023-02-06T20:42:36+07:00,202,27,95,1301,6,,,,Bukan Fuzzy
2023-02-06T20:43:01+07:00,203,27,95,1309,6,,,,Bukan Fuzzy
2023-02-06T20:43:19+07:00,204,27,95,1287,6,,,,Bukan Fuzzy
2023-02-06T20:43:38+07:00,205,27,95,1321,6,,,,Bukan Fuzzy
2023-02-06T20:43:58+07:00,206,27,95,1285,6,,,,Bukan Fuzzy
2023-02-06T20:44:17+07:00,207,27,95,1343,6,,,,Bukan Fuzzy
2023-02-06T20:44:36+07:00,208,27,95,1278,6,,,,Bukan Fuzzy
2023-02-06T20:45:00+07:00,209,27,95,1223,6,,,,Bukan Fuzzy
2023-02-06T20:45:17+07:00,210,27,95,1259,6,,,,Bukan Fuzzy
2023-02-06T20:45:40+07:00,211,27,95,1273,6,,,,Bukan Fuzzy
2023-02-06T20:45:56+07:00,212,27,95,1383,6,,,,Bukan Fuzzy
2023-02-06T20:46:20+07:00,213,27,95,1098,6,,,,Bukan Fuzzy
2023-02-06T20:46:38+07:00,214,27,95,1277,6,,,,Bukan Fuzzy
2023-02-06T20:47:00+07:00,215,27,95,1298,6,,,,Bukan Fuzzy
2023-02-06T20:47:16+07:00,216,27,95,1272,5,,,,Bukan Fuzzy
2023-02-06T20:47:38+07:00,217,27,95,1244,6,,,,Bukan Fuzzy
2023-02-06T20:48:03+07:00,218,27,95,1290,6,,,,Bukan Fuzzy
2023-02-06T20:48:25+07:00,219,27,95,1276,5,,,,Bukan Fuzzy
2023-02-06T20:48:41+07:00,220,27,95,1337,6,,,,Bukan Fuzzy
2023-02-06T20:48:57+07:00,221,27,95,1252,6,,,,Bukan Fuzzy
2023-02-06T20:49:17+07:00,222,27,95,1326,6,,,,Bukan Fuzzy
2023-02-06T20:49:40+07:00,223,27,95,1343,6,,,,Bukan Fuzzy
2023-02-06T20:49:58+07:00,224,27,95,1300,6,,,,Bukan Fuzzy
2023-02-06T20:50:17+07:00,225,27,95,1318,6,,,,Bukan Fuzzy
2023-02-06T20:50:37+07:00,226,27,95,1317,6,,,,Bukan Fuzzy
2023-02-06T20:51:00+07:00,227,27,95,1520,6,,,,Bukan Fuzzy
2023-02-07T08:20:38+07:00,228,27,95,1293,166,,,,Bukan Fuzzy
2023-02-07T08:20:54+07:00,229,23,59,1218,169,,,,Bukan Fuzzy
2023-02-07T08:21:16+07:00,230,23,59,1268,178,,,,Bukan Fuzzy
2023-02-07T08:21:34+07:00,231,23,59,1255,179,,,,Bukan Fuzzy
2023-02-07T08:21:55+07:00,232,23,58,1261,179,,,,Bukan Fuzzy
2023-02-07T08:22:13+07:00,233,23,60,1256,180,,,,Bukan Fuzzy
2023-02-07T08:22:35+07:00,234,23,59,1290,184,,,,Bukan Fuzzy
2023-02-07T08:22:55+07:00,235,23,59,1324,189,,,,Bukan Fuzzy
2023-02-07T08:23:13+07:00,236,23,59,1341,189,,,,Bukan Fuzzy
2023-02-07T08:23:35+07:00,237,23,59,1343,195,,,,Bukan Fuzzy
2023-02-07T08:23:54+07:00,238,23,60,1264,195,,,,Bukan Fuzzy
2023-02-07T08:24:15+07:00,239,23,60,1289,206,,,,Bukan Fuzzy
2023-02-07T08:24:37+07:00,240,23,61,1264,212,,,,Bukan Fuzzy
2023-02-07T08:24:54+07:00,241,23,64,1315,212,,,,Bukan Fuzzy
